 13732 TRACE          task_state_est.c:206: Height 442.740: Velocity: -336.308
 13742 TRACE          task_state_est.c:206: Height 442.301: Velocity: -335.998
 13752 TRACE          task_state_est.c:206: Height 441.887: Velocity: -335.648
 13762 TRACE          task_state_est.c:206: Height 441.471: Velocity: -335.301
 13772 TRACE          task_state_est.c:206: Height 441.58: Velocity: -334.953
 13782 TRACE          task_state_est.c:206: Height 440.654: Velocity: -334.590
 13792 TRACE          task_state_est.c:206: Height 440.252: Velocity: -334.226
 13802 TRACE          task_state_est.c:206: Height 439.826: Velocity: -333.900
 13812 TRACE          task_state_est.c:206: Height 439.425: Velocity: -333.536
 13822 TRACE          task_state_est.c:206: Height 439.3: Velocity: -333.204
 13832 TRACE          task_state_est.c:206: Height 438.584: Velocity: -332.870
 13842 TRACE          task_state_est.c:206: Height 438.145: Velocity: -332.567
 13852 TRACE          task_state_est.c:206: Height 437.731: Velocity: -332.226
 13862 TRACE          task_state_est.c:206: Height 437.358: Velocity: -331.825
 13872 TRACE          task_state_est.c:206: Height 436.963: Velocity: -331.459
 13882 TRACE          task_state_est.c:206: Height 436.548: Velocity: -331.124
 13892 TRACE          task_state_est.c:206: Height 436.180: Velocity: -330.720
 13902 TRACE          task_state_est.c:206: Height 435.754: Velocity: -330.403
 13912 TRACE          task_state_est.c:206: Height 435.352: Velocity: -330.53
 13922 TRACE          task_state_est.c:206: Height 434.930: Velocity: -329.731
 13932 TRACE          task_state_est.c:206: Height 434.549: Velocity: -329.351
 13942 TRACE          task_state_est.c:206: Height 434.171: Velocity: -328.970
 13952 TRACE          task_state_est.c:206: Height 433.773: Velocity: -328.617
 13962 TRACE          task_state_est.c:206: Height 433.401: Velocity: -328.229
 13972 TRACE          task_state_est.c:206: Height 433.8: Velocity: -327.874
 13982 TRACE          task_state_est.c:206: Height 432.638: Velocity: -327.486
 13992 TRACE          task_state_est.c:206: Height 432.267: Velocity: -327.102
 14002 TRACE          task_state_est.c:206: Height 431.898: Velocity: -326.717
 14012 TRACE          task_state_est.c:206: Height 431.534: Velocity: -326.327
 14022 TRACE          task_state_est.c:206: Height 431.167: Velocity: -325.941
 14032 TRACE          task_state_est.c:206: Height 430.806: Velocity: -325.551
 14042 TRACE          task_state_est.c:206: Height 430.424: Velocity: -325.189
 14052 TRACE          task_state_est.c:206: Height 430.65: Velocity: -324.798
 14062 TRACE          task_state_est.c:206: Height 429.707: Velocity: -324.408
 14072 TRACE          task_state_est.c:206: Height 429.327: Velocity: -324.49
 14082 TRACE          task_state_est.c:206: Height 428.973: Velocity: -323.657
 14092 TRACE          task_state_est.c:206: Height 428.616: Velocity: -323.270
 14102 TRACE          task_state_est.c:206: Height 428.261: Velocity: -322.882
 14112 TRACE          task_state_est.c:206: Height 427.890: Velocity: -322.517
 14122 TRACE          task_state_est.c:206: Height 427.537: Velocity: -322.130
 14132 TRACE          task_state_est.c:206: Height 427.148: Velocity: -321.792
 14142 TRACE          task_state_est.c:206: Height 426.781: Velocity: -321.426
 14152 TRACE          task_state_est.c:206: Height 426.414: Velocity: -321.61
 14162 TRACE          task_state_est.c:206: Height 426.67: Velocity: -320.672
 14172 TRACE          task_state_est.c:206: Height 425.706: Velocity: -320.304
 14182 TRACE          task_state_est.c:206: Height 425.383: Velocity: -319.888
 14192 TRACE          task_state_est.c:206: Height 425.0: Velocity: -319.551
 14202 TRACE          task_state_est.c:206: Height 424.640: Velocity: -319.185
 14212 TRACE          task_state_est.c:206: Height 424.282: Velocity: -318.819
 14222 TRACE          task_state_est.c:206: Height 423.906: Velocity: -318.475
 14232 TRACE          task_state_est.c:206: Height 423.551: Velocity: -318.108
 14242 TRACE          task_state_est.c:206: Height 423.218: Velocity: -317.715
 14252 TRACE          task_state_est.c:206: Height 422.883: Velocity: -317.326
 14262 TRACE          task_state_est.c:206: Height 422.552: Velocity: -316.934
 14272 TRACE          task_state_est.c:206: Height 422.222: Velocity: -316.542
 14282 TRACE          task_state_est.c:206: Height 421.893: Velocity: -316.151
