,flight_sensor_id,signal_type,t,value
5115,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.749250943219043,[77764.40097811]
5116,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.749250943219043,[77765.98294323]
5117,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.749250943219043,[77775.92833552]
5118,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.749250943219043,[5.19228993]
5119,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.749250943219043,[4.62975813]
5120,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.749250943219043,[5.04859987]
5121,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.759250943219047,[-9.94770936]
5122,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.759250943219047,[-9.6019986]
5123,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.759250943219047,[-9.58150711]
5124,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.759250943219047,[77779.24208157]
5125,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.759250943219047,[77763.78333288]
5126,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.759250943219047,[77755.8706175]
5127,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.759250943219047,[5.96316244]
5128,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.759250943219047,[5.2721863]
5129,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.759250943219047,[5.19827926]
5130,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.76925094321905,[-9.36976432]
5131,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.76925094321905,[-10.7707038]
5132,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.76925094321905,[-9.44260261]
5133,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.76925094321905,[77752.37588661]
5134,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.76925094321905,[77753.7376688]
5135,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.76925094321905,[77745.3382523]
5136,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.76925094321905,[4.85189827]
5137,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.76925094321905,[5.08259632]
5138,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.76925094321905,[5.14508648]
5139,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.779250943219053,[-10.58304334]
5140,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.779250943219053,[-9.03981412]
5141,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.779250943219053,[-9.47196537]
5142,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.779250943219053,[77734.84378268]
5143,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.779250943219053,[77737.84751367]
5144,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.779250943219053,[77726.27404622]
5145,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.779250943219053,[5.70470403]
5146,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.779250943219053,[5.16168806]
5147,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.779250943219053,[5.13580328]
5148,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.789250943219057,[-10.00753251]
5149,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.789250943219057,[-10.75981206]
5150,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.789250943219057,[-9.82953329]
5151,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.789250943219057,[77726.84095893]
